grupo,rodada,data,horario_et,horario_local,estadio,cidade,home_pt,away_pt,home_team,away_team,aprov_hist_home,aprov_hist_away,diff_aprov_hist,media_gols_pro_hist_home,media_gols_pro_hist_away,diff_media_gols_pro_hist,media_gols_contra_hist_home,media_gols_contra_hist_away,diff_media_gols_contra_hist,saldo_medio_hist_home,saldo_medio_hist_away,diff_saldo_medio_hist,partidas_hist_home,partidas_hist_away,diff_partidas_hist,ranking_home,ranking_away,diff_ranking,ranking_points_home,ranking_points_away,diff_ranking_points,ranking_available_home,ranking_available_away,fase_ordinal,fase_knockout,pred_home,pred_away,resultado_previsto,prob_home_win,home_win_previsto,classificacao_prevista
Grupo F,1ª Rodada,2026-06-14,16:00,15:00,AT&T Stadium,Dallas,Holanda,Japão,Netherlands,Japan,0.6242424242424243,0.3333333333333333,0.29090909090909095,1.7454545454545454,1.0,0.7454545454545454,0.9454545454545454,1.32,-0.3745454545454546,0.8,-0.32,1.12,55,25,30,7.0,18.0,11.0,1757.87,1660.43,97.43999999999983,1,1,1,0,1.6413409150396803,0.5866349162299078,Holanda vence,0.538068964774275,1,Holanda vence
Grupo F,1ª Rodada,2026-06-14,22:00,20:00,Estadio BBVA,Monterrey,Suécia,Tunísia,Sweden,Tunisia,0.47058823529411764,0.25925925925925924,0.2113289760348584,1.5686274509803921,0.7777777777777778,0.7908496732026143,1.4313725490196079,1.4444444444444444,-0.013071895424836555,0.13725490196078433,-0.6666666666666666,0.803921568627451,51,18,33,38.0,44.0,6.0,1514.77,1483.05,31.720000000000027,1,1,1,0,1.6460398325117405,0.7936065450450587,Suécia vence,0.49179902918320945,0,Suécia não vence
Grupo H,1ª Rodada,2026-06-15,18:00,18:00,Hard Rock Stadium,Miami,Arábia Saudita,Uruguai,Saudi Arabia,Uruguay,0.24561403508771928,0.5084745762711864,-0.26286054118346713,0.7368421052631579,1.5084745762711864,-0.7716324710080286,2.3157894736842106,1.2881355932203389,1.0276538804638717,-1.5789473684210527,0.22033898305084745,-1.7992863514719002,19,59,-40,61.0,17.0,-44.0,1421.43,1673.07,-251.63999999999987,1,1,1,0,0.39447256580448253,1.9612978586875243,Uruguai vence,0.0819156242039091,0,Arábia Saudita não vence
Grupo H,1ª Rodada,2026-06-15,12:00,12:00,Mercedes-Benz Stadium,Atlanta,Espanha,Cabo Verde,Spain,Cape Verde,0.5373134328358209,0.5,0.03731343283582089,1.6119402985074627,0.0,1.6119402985074627,1.1194029850746268,0.0,1.1194029850746268,0.4925373134328358,0.0,0.4925373134328358,67,0,67,2.0,69.0,67.0,1876.4,1366.13,510.27,1,1,1,0,1.9798407744869817,0.3607302605288234,Espanha vence,0.7584325800274553,1,Espanha vence
Grupo G,1ª Rodada,2026-06-15,21:00,18:00,SoFi Stadium,Los Angeles,Irã,Nova Zelândia,Iran,New Zealand,0.24074074074074073,0.16666666666666666,0.07407407407407407,0.7222222222222222,0.6666666666666666,0.05555555555555558,1.7222222222222223,2.3333333333333335,-0.6111111111111112,-1.0,-1.6666666666666667,0.6666666666666667,18,6,12,21.0,85.0,64.0,1615.3,1281.57,333.73,1,1,1,0,2.0864744281481324,1.0427725898897195,Irã vence,0.5661626735989925,1,Irã vence
Grupo G,1ª Rodada,2026-06-15,15:00,12:00,Lumen Field,Seattle,Bélgica,Egito,Belgium,Egypt,0.49019607843137253,0.09523809523809523,0.3949579831932773,1.3529411764705883,0.7142857142857143,0.638655462184874,1.4509803921568627,1.7142857142857142,-0.2633053221288515,-0.09803921568627451,-1.0,0.9019607843137255,51,7,44,9.0,29.0,20.0,1734.71,1563.24,171.47000000000003,1,1,1,0,1.8970302881968688,0.555830270227357,Bélgica vence,0.5939529447423639,1,Bélgica vence
Grupo I,1ª Rodada,2026-06-16,15:00,15:00,MetLife Stadium,Nova York / Nova Jersey,França,Senegal,France,Senegal,0.6027397260273972,0.5,0.10273972602739723,1.8630136986301369,1.3333333333333333,0.5296803652968036,1.1643835616438356,1.4166666666666667,-0.25228310502283113,0.6986301369863014,-0.08333333333333333,0.7819634703196348,73,12,61,1.0,14.0,13.0,1877.32,1688.99,188.32999999999993,1,1,1,0,1.5912855727009014,0.7092258017199524,França vence,0.6721130295854754,1,França vence
Grupo I,1ª Rodada,2026-06-16,18:00,18:00,Gillette Stadium,Boston,Iraque,Noruega,Iraq,Norway,0.0,0.375,-0.375,0.3333333333333333,0.875,-0.5416666666666667,1.3333333333333333,1.0,0.33333333333333326,-1.0,-0.125,-0.875,3,8,-5,57.0,31.0,-26.0,1447.14,1550.94,-103.79999999999995,1,1,1,0,0.9787134451122599,2.1119108569261185,Noruega vence,0.27418905864695053,0,Iraque não vence
Grupo J,1ª Rodada,2026-06-16,21:00,20:00,Arrowhead Stadium,Kansas City,Argentina,Argélia,Argentina,Algeria,0.6401515151515151,0.3076923076923077,0.33245920745920743,1.7272727272727273,1.0,0.7272727272727273,1.1477272727272727,1.4615384615384615,-0.31381118881118875,0.5795454545454546,-0.46153846153846156,1.0410839160839163,88,13,75,3.0,28.0,25.0,1874.81,1564.26,310.54999999999995,1,1,1,0,1.7153462876502479,0.18918343832727946,Argentina vence,0.6768520344940617,1,Argentina vence
Grupo J,1ª Rodada,2026-06-16,00:00,21:00,Levi's Stadium,Área da Baía de São Francisco,Áustria,Jordânia,Austria,Jordan,0.45977011494252873,0.5,-0.04022988505747127,1.4827586206896552,0.0,1.4827586206896552,1.6206896551724137,0.0,1.6206896551724137,-0.13793103448275862,0.0,-0.13793103448275862,29,0,29,24.0,63.0,39.0,1593.45,1391.45,202.0,1,1,1,0,1.9294216579928223,1.100006896799485,Áustria vence,0.6202706563269195,1,Áustria vence
Grupo L,1ª Rodada,2026-06-17,19:00,19:00,BMO Field,Toronto,Gana,Panamá,Ghana,Panama,0.37777777777777777,0.0,0.37777777777777777,1.2,0.6666666666666666,0.5333333333333333,1.5333333333333334,3.6666666666666665,-2.133333333333333,-0.3333333333333333,-3.0,2.6666666666666665,15,3,12,74.0,33.0,-41.0,1346.31,1540.64,-194.33000000000015,1,1,1,0,2.0424280619979633,1.371138434820866,Gana vence,0.4723052159138837,0,Gana não vence
Grupo L,1ª Rodada,2026-06-17,16:00,15:00,AT&T Stadium,Dallas,Inglaterra,Croácia,England,Croatia,0.527027027027027,0.6111111111111112,-0.08408408408408419,1.4054054054054055,1.4333333333333333,-0.027927927927927865,0.918918918918919,1.1,-0.18108108108108112,0.4864864864864865,0.3333333333333333,0.1531531531531532,74,30,44,4.0,11.0,7.0,1825.97,1717.07,108.90000000000009,1,1,1,0,1.0465022115518219,0.8186038472662356,Inglaterra vence,0.48800891664126783,0,Inglaterra não vence
Grupo K,1ª Rodada,2026-06-17,13:00,12:00,NRG Stadium,Houston,Portugal,RD Congo,Portugal,DR Congo,0.5619047619047619,0.0,0.5619047619047619,1.7428571428571429,0.0,1.7428571428571429,1.1714285714285715,4.666666666666667,-3.4952380952380953,0.5714285714285714,-4.666666666666667,5.238095238095238,35,3,32,5.0,46.0,41.0,1763.83,1478.35,285.48,1,1,1,0,2.8656313947376564,0.20611981215126085,Portugal vence,0.8098604533147798,1,Portugal vence
Grupo K,1ª Rodada,2026-06-17,22:00,20:00,Estadio Azteca,Cidade do México,Uzbequistão,Colômbia,Uzbekistan,Colombia,0.5,0.4393939393939394,0.06060606060606061,0.0,1.4545454545454546,-1.4545454545454546,0.0,1.3636363636363635,-1.3636363636363635,0.0,0.09090909090909091,-0.09090909090909091,0,22,-22,50.0,13.0,-37.0,1465.34,1693.09,-227.75,1,1,1,0,1.1459565659032154,1.9133937785389437,Colômbia vence,0.24638398233209785,0,Uzbequistão não vence
Grupo A,2ª Rodada,2026-06-18,12:00,12:00,Mercedes-Benz Stadium,Atlanta,República Tcheca,África do Sul,Czech Republic,South Africa,0.41414141414141414,0.37037037037037035,0.043771043771043794,1.4242424242424243,1.2222222222222223,0.202020202020202,1.4848484848484849,1.7777777777777777,-0.2929292929292928,-0.06060606060606061,-0.5555555555555556,0.494949494949495,33,9,24,41.0,60.0,19.0,1501.38,1429.73,71.65000000000009,1,1,1,0,1.8129406708159004,1.2731646264385477,República Tcheca vence,0.5516073503314275,1,República Tcheca vence
Grupo B,2ª Rodada,2026-06-18,15:00,12:00,SoFi Stadium,Los Angeles,Suíça,Bósnia,Switzerland,Bosnia,0.3983739837398374,0.3333333333333333,0.06504065040650409,1.3414634146341464,1.3333333333333333,0.008130081300813163,1.7804878048780488,1.3333333333333333,0.44715447154471555,-0.43902439024390244,0.0,-0.43902439024390244,41,3,38,19.0,65.0,46.0,1649.4,1385.84,263.5600000000002,1,1,1,0,1.878630720035569,1.0923952741431637,Suíça vence,0.6145259322200872,1,Suíça vence
Grupo B,2ª Rodada,2026-06-18,18:00,15:00,BC Place,Vancouver,Canadá,Catar,Canada,Qatar,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,2.0,2.3333333333333335,-0.3333333333333335,-1.6666666666666667,-2.0,0.33333333333333326,6,3,3,30.0,55.0,25.0,1556.48,1454.96,101.51999999999998,1,1,1,0,1.711198144724435,1.3502606923227656,Canadá vence,0.41190605812680614,0,Canadá não vence
Grupo A,2ª Rodada,2026-06-18,21:00,19:00,Estadio Akron,Guadalajara,México,Coreia do Sul,Mexico,South Korea,0.35555555555555557,0.2894736842105263,0.06608187134502924,1.0333333333333334,1.0263157894736843,0.007017543859649145,1.6833333333333333,2.0526315789473686,-0.36929824561403524,-0.65,-1.0263157894736843,0.37631578947368427,60,38,22,15.0,25.0,10.0,1681.03,1588.66,92.36999999999989,1,1,1,0,1.11719787050554,0.7148146980182932,México vence,0.33743921156589496,0,México não vence
Grupo C,2ª Rodada,2026-06-19,21:00,21:00,Lincoln Financial Field,Filadélfia,Brasil,Haiti,Brazil,Haiti,0.7339181286549707,0.0,0.7339181286549707,2.0789473684210527,0.6666666666666666,1.4122807017543861,0.9473684210526315,4.666666666666667,-3.7192982456140355,1.131578947368421,-4.0,5.131578947368421,114,3,111,6.0,83.0,77.0,1761.16,1291.71,469.45000000000005,1,1,1,0,2.8354417541797283,0.0,Brasil vence,0.905156717884819,1,Brasil vence
Grupo C,2ª Rodada,2026-06-19,18:00,18:00,Gillette Stadium,Boston,Escócia,Marrocos,Scotland,Morocco,0.2753623188405797,0.34782608695652173,-0.07246376811594202,1.0869565217391304,0.8695652173913043,0.21739130434782605,1.7826086956521738,1.173913043478261,0.6086956521739129,-0.6956521739130435,-0.30434782608695654,-0.3913043478260869,23,23,0,43.0,8.0,-35.0,1498.35,1755.87,-257.52,1,1,1,0,1.0721243591581355,1.612154335431644,Marrocos vence,0.27358079250170314,0,Escócia não vence
Grupo D,2ª Rodada,2026-06-19,00:00,21:00,Levi's Stadium,Área da Baía de São Francisco,Turquia,Paraguai,Turkey,Paraguay,0.5333333333333333,0.4074074074074074,0.12592592592592594,2.0,1.1111111111111112,0.8888888888888888,1.7,1.4074074074074074,0.2925925925925925,0.3,-0.2962962962962963,0.5962962962962963,10,27,-17,22.0,40.0,18.0,1599.04,1503.5,95.53999999999996,1,1,1,0,1.8863531603341408,1.3177952151158177,Turquia vence,0.4587196660782644,0,Turquia não vence
Grupo D,2ª Rodada,2026-06-19,15:00,12:00,Lumen Field,Seattle,Estados Unidos,Austrália,USA,Australia,0.5,0.26666666666666666,0.23333333333333334,0.0,0.85,-0.85,0.0,1.85,-1.85,0.0,-1.0,1.0,0,20,-20,16.0,27.0,11.0,1673.13,1580.67,92.46000000000004,1,1,1,0,1.6377087374808472,1.2827547854554984,Estados Unidos vence,0.3713506681926566,0,Estados Unidos não vence
Grupo E,2ª Rodada,2026-06-20,16:00,16:00,BMO Field,Toronto,Alemanha,Costa do Marfim,Germany,Cote d'Ivoire,0.6780626780626781,0.37037037037037035,0.3076923076923077,2.017094017094017,1.4444444444444444,0.5726495726495726,1.1538461538461537,1.5555555555555556,-0.40170940170940184,0.8632478632478633,-0.1111111111111111,0.9743589743589745,117,9,108,10.0,34.0,24.0,1730.37,1532.98,197.38999999999987,1,1,1,0,1.631450770234194,0.011379205812732218,Alemanha vence,0.7497087349694168,1,Alemanha vence
Grupo E,2ª Rodada,2026-06-20,20:00,19:00,Arrowhead Stadium,Kansas City,Equador,Curaçao,Ecuador,Curacao,0.4358974358974359,0.5,-0.0641025641025641,1.0769230769230769,0.0,1.0769230769230769,1.0769230769230769,0.0,1.0769230769230769,0.0,0.0,0.0,13,0,13,23.0,82.0,59.0,1594.78,1294.65,300.1299999999999,1,1,1,0,2.0554053066644284,1.1758476487721197,Equador vence,0.6195519002181514,1,Equador vence
Grupo F,2ª Rodada,2026-06-20,13:00,12:00,NRG Stadium,Houston,Holanda,Suécia,Netherlands,Sweden,0.6242424242424243,0.47058823529411764,0.15365418894830662,1.7454545454545454,1.5686274509803921,0.17682709447415323,0.9454545454545454,1.4313725490196079,-0.48591800356506243,0.8,0.13725490196078433,0.6627450980392158,55,51,4,7.0,38.0,31.0,1757.87,1514.77,243.0999999999999,1,1,1,0,1.36407438371301,0.6077229580841734,Holanda vence,0.39261767479332244,0,Holanda não vence
Grupo F,2ª Rodada,2026-06-20,00:00,22:00,Estadio BBVA,Monterrey,Tunísia,Japão,Tunisia,Japan,0.25925925925925924,0.3333333333333333,-0.07407407407407407,0.7777777777777778,1.0,-0.2222222222222222,1.4444444444444444,1.32,0.12444444444444436,-0.6666666666666666,-0.32,-0.3466666666666666,18,25,-7,44.0,18.0,-26.0,1483.05,1660.43,-177.3800000000001,1,1,1,0,1.070873076371729,1.6249517906574746,Japão vence,0.2563401622302978,0,Tunísia não vence
Grupo H,2ª Rodada,2026-06-21,18:00,18:00,Hard Rock Stadium,Miami,Uruguai,Cabo Verde,Uruguay,Cape Verde,0.5084745762711864,0.5,0.008474576271186418,1.5084745762711864,0.0,1.5084745762711864,1.2881355932203389,0.0,1.2881355932203389,0.22033898305084745,0.0,0.22033898305084745,59,0,59,17.0,69.0,52.0,1673.07,1366.13,306.9399999999998,1,1,1,0,1.889351392822913,0.6021518178497847,Uruguai vence,0.7004447229243389,1,Uruguai vence
Grupo H,2ª Rodada,2026-06-21,12:00,12:00,Mercedes-Benz Stadium,Atlanta,Espanha,Arábia Saudita,Spain,Saudi Arabia,0.5373134328358209,0.24561403508771928,0.2916993977481016,1.6119402985074627,0.7368421052631579,0.8750981932443048,1.1194029850746268,2.3157894736842106,-1.1963864886095839,0.4925373134328358,-1.5789473684210527,2.0714846818538883,67,19,48,2.0,61.0,59.0,1876.4,1421.43,454.97,1,1,1,0,2.051787240351593,0.1530510084835215,Espanha vence,0.6907149638692404,1,Espanha vence
Grupo G,2ª Rodada,2026-06-21,15:00,12:00,SoFi Stadium,Los Angeles,Bélgica,Irã,Belgium,Iran,0.49019607843137253,0.24074074074074073,0.2494553376906318,1.3529411764705883,0.7222222222222222,0.6307189542483661,1.4509803921568627,1.7222222222222223,-0.2712418300653596,-0.09803921568627451,-1.0,0.9019607843137255,51,18,33,9.0,21.0,12.0,1734.71,1615.3,119.41000000000008,1,1,1,0,1.6405938393778885,0.6746287491603118,Bélgica vence,0.5185429135397819,1,Bélgica vence
Grupo G,2ª Rodada,2026-06-21,21:00,18:00,BC Place,Vancouver,Nova Zelândia,Egito,New Zealand,Egypt,0.16666666666666666,0.09523809523809523,0.07142857142857142,0.6666666666666666,0.7142857142857143,-0.04761904761904767,2.3333333333333335,1.7142857142857142,0.6190476190476193,-1.6666666666666667,-1.0,-0.6666666666666667,6,7,-1,85.0,29.0,-56.0,1281.57,1563.24,-281.6700000000001,1,1,1,0,1.2992090387086996,1.9676759492151779,Egito vence,0.22588445597510712,0,Nova Zelândia não vence
Grupo I,2ª Rodada,2026-06-22,20:00,20:00,MetLife Stadium,Nova York / Nova Jersey,Noruega,Senegal,Norway,Senegal,0.375,0.5,-0.125,0.875,1.3333333333333333,-0.45833333333333326,1.0,1.4166666666666667,-0.41666666666666674,-0.125,-0.08333333333333333,-0.04166666666666667,8,12,-4,31.0,14.0,-17.0,1550.94,1688.99,-138.04999999999995,1,1,1,0,1.364588055630833,1.870852557275984,Senegal vence,0.4035968409040267,0,Noruega não vence
Grupo I,2ª Rodada,2026-06-22,17:00,17:00,Lincoln Financial Field,Filadélfia,França,Iraque,France,Iraq,0.6027397260273972,0.0,0.6027397260273972,1.8630136986301369,0.3333333333333333,1.5296803652968036,1.1643835616438356,1.3333333333333333,-0.16894977168949765,0.6986301369863014,-1.0,1.6986301369863015,73,3,70,1.0,57.0,56.0,1877.32,1447.14,430.17999999999984,1,1,1,0,2.3386083739961876,0.0,França vence,0.7564462951259712,1,França vence
Grupo J,2ª Rodada,2026-06-22,13:00,12:00,AT&T Stadium,Dallas,Argentina,Áustria,Argentina,Austria,0.6401515151515151,0.45977011494252873,0.1803814002089864,1.7272727272727273,1.4827586206896552,0.24451410658307204,1.1477272727272727,1.6206896551724137,-0.472962382445141,0.5795454545454546,-0.13793103448275862,0.7174764890282133,88,29,59,3.0,24.0,21.0,1874.81,1593.45,281.3599999999999,1,1,1,0,1.395670295646081,0.37896529822961367,Argentina vence,0.5747698767544828,1,Argentina vence
Grupo J,2ª Rodada,2026-06-22,23:00,20:00,Levi's Stadium,Área da Baía de São Francisco,Jordânia,Argélia,Jordan,Algeria,0.5,0.3076923076923077,0.1923076923076923,0.0,1.0,-1.0,0.0,1.4615384615384615,-1.4615384615384615,0.0,-0.46153846153846156,0.46153846153846156,0,13,-13,63.0,28.0,-35.0,1391.45,1564.26,-172.80999999999995,1,1,1,0,1.4196828888036517,1.739639798090488,Argélia vence,0.29094487829529797,0,Jordânia não vence
Grupo L,2ª Rodada,2026-06-23,16:00,16:00,Gillette Stadium,Boston,Inglaterra,Gana,England,Ghana,0.527027027027027,0.37777777777777777,0.1492492492492492,1.4054054054054055,1.2,0.20540540540540553,0.918918918918919,1.5333333333333334,-0.6144144144144145,0.4864864864864865,-0.3333333333333333,0.8198198198198199,74,15,59,4.0,74.0,70.0,1825.97,1346.31,479.6600000000001,1,1,1,0,1.8635763223132262,0.3127941109358765,Inglaterra vence,0.6958850819787343,1,Inglaterra vence
Grupo L,2ª Rodada,2026-06-23,19:00,19:00,BMO Field,Toronto,Panamá,Croácia,Panama,Croatia,0.0,0.6111111111111112,-0.6111111111111112,0.6666666666666666,1.4333333333333333,-0.7666666666666667,3.6666666666666665,1.1,2.5666666666666664,-3.0,0.3333333333333333,-3.3333333333333335,3,30,-27,33.0,11.0,-22.0,1540.64,1717.07,-176.42999999999984,1,1,1,0,0.5540643240594614,2.548237798328323,Croácia vence,0.14533739562694645,0,Panamá não vence
Grupo K,2ª Rodada,2026-06-23,13:00,12:00,NRG Stadium,Houston,Portugal,Uzbequistão,Portugal,Uzbekistan,0.5619047619047619,0.5,0.06190476190476191,1.7428571428571429,0.0,1.7428571428571429,1.1714285714285715,0.0,1.1714285714285715,0.5714285714285714,0.0,0.5714285714285714,35,0,35,5.0,50.0,45.0,1763.83,1465.34,298.49,1,1,1,0,2.0726806874652617,0.8226423586998242,Portugal vence,0.7059387381292141,1,Portugal vence
Grupo K,2ª Rodada,2026-06-23,22:00,20:00,Estadio Akron,Guadalajara,Colômbia,RD Congo,Colombia,DR Congo,0.4393939393939394,0.0,0.4393939393939394,1.4545454545454546,0.0,1.4545454545454546,1.3636363636363635,4.666666666666667,-3.3030303030303036,0.09090909090909091,-4.666666666666667,4.757575757575758,22,3,19,13.0,46.0,33.0,1693.09,1478.35,214.74,1,1,1,0,2.706344485811339,0.5294340193546521,Colômbia vence,0.749405227944411,1,Colômbia vence
Grupo C,3ª Rodada,2026-06-24,18:00,18:00,Hard Rock Stadium,Miami,Escócia,Brasil,Scotland,Brazil,0.2753623188405797,0.7339181286549707,-0.45855580981439104,1.0869565217391304,2.0789473684210527,-0.9919908466819223,1.7826086956521738,0.9473684210526315,0.8352402745995423,-0.6956521739130435,1.131578947368421,-1.8272311212814645,23,114,-91,43.0,6.0,-37.0,1498.35,1761.16,-262.8100000000002,1,1,1,0,0.0,1.758660764880908,Brasil vence,0.026165533410657624,0,Escócia não vence
Grupo C,3ª Rodada,2026-06-24,18:00,18:00,Mercedes-Benz Stadium,Atlanta,Marrocos,Haiti,Morocco,Haiti,0.34782608695652173,0.0,0.34782608695652173,0.8695652173913043,0.6666666666666666,0.2028985507246377,1.173913043478261,4.666666666666667,-3.492753623188406,-0.30434782608695654,-4.0,3.6956521739130435,23,3,20,8.0,83.0,75.0,1755.87,1291.71,464.15999999999985,1,1,1,0,2.688935324730464,0.5587856888434448,Marrocos vence,0.7506802423484216,1,Marrocos vence
Grupo B,3ª Rodada,2026-06-24,15:00,12:00,BC Place,Vancouver,Suíça,Canadá,Switzerland,Canada,0.3983739837398374,0.0,0.3983739837398374,1.3414634146341464,0.3333333333333333,1.0081300813008132,1.7804878048780488,2.0,-0.2195121951219512,-0.43902439024390244,-1.6666666666666667,1.2276422764227644,41,6,35,19.0,30.0,11.0,1649.4,1556.48,92.92000000000007,1,1,1,0,1.948042923074539,0.6368643717442362,Suíça vence,0.5521508327560776,1,Suíça vence
Grupo B,3ª Rodada,2026-06-24,15:00,12:00,Lumen Field,Seattle,Bósnia,Catar,Bosnia,Qatar,0.3333333333333333,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,2.3333333333333335,-1.0000000000000002,0.0,-2.0,2.0,3,3,0,65.0,55.0,-10.0,1385.84,1454.96,-69.12000000000012,1,1,1,0,2.166729047123363,1.2808484892837955,Bósnia vence,0.4865164697839621,0,Bósnia não vence
Grupo A,3ª Rodada,2026-06-24,21:00,19:00,Estadio Azteca,Cidade do México,República Tcheca,México,Czech Republic,Mexico,0.41414141414141414,0.35555555555555557,0.058585858585858575,1.4242424242424243,1.0333333333333334,0.3909090909090909,1.4848484848484849,1.6833333333333333,-0.1984848484848485,-0.06060606060606061,-0.65,0.5893939393939394,33,60,-27,41.0,15.0,-26.0,1501.38,1681.03,-179.64999999999986,1,1,1,0,0.908280260614252,1.112778069960605,México vence,0.1689467304525366,0,República Tcheca não vence
