rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
166,Bermuda,BER,976.87,976.87,3,CONCACAF,2026-04-01
167,St Lucia,LCA,976.71,980.28,0,CONCACAF,2026-04-01
168,Papua New Guinea,PNG,974.9,974.9,2,OFC,2026-04-01
169,Afghanistan,AFG,972.75,991.19,-7,AFC,2026-04-01
170,South Sudan,SSD,970.94,977.5,-2,CAF,2026-04-01
171,St Vincent and the Grenadines,VIN,968.27,963.74,0,CONCACAF,2026-04-01
172,Maldives,MDV,954.93,945.02,1,AFC,2026-04-01
173,Andorra,AND,945.34,949.44,-1,UEFA,2026-04-01
174,Chinese Taipei,TPE,923.78,938.21,0,AFC,2026-04-01
175,Montserrat,MSR,916.75,916.75,0,CONCACAF,2026-04-01
176,Nepal,NEP,914.54,902.52,6,AFC,2026-04-01
177,Cambodia,CAM,911.54,911.54,2,AFC,2026-04-01
178,Mauritius,MRI,911.49,915.51,-2,CAF,2026-04-01
179,Barbados,BRB,909.89,914.42,-1,CONCACAF,2026-04-01
180,Belize,BLZ,907.0,910.74,1,CONCACAF,2026-04-01
181,Bangladesh,BAN,899.53,911.1,-1,AFC,2026-04-01
182,Dominica,DMA,897.69,901.37,1,CONCACAF,2026-04-01
183,Chad,CHA,896.85,914.65,-6,CAF,2026-04-01
184,Eritrea,ERI,887.06,0.0,,CAF,2026-04-01
185,Laos,LAO,885.03,871.16,5,AFC,2026-04-01
186,Bhutan,BHU,880.55,867.86,6,AFC,2026-04-01
187,Mongolia,MNG,879.75,879.75,-2,AFC,2026-04-01
188,Cook Islands,COK,877.53,877.53,-2,OFC,2026-04-01
189,Aruba,ARU,877.3,867.94,2,CONCACAF,2026-04-01
190,Samoa,SAM,876.41,876.41,-3,OFC,2026-04-01
191,Sri Lanka,SRI,871.82,857.4,3,AFC,2026-04-01
192,American Samoa,ASA,871.61,883.17,-8,OFC,2026-04-01
193,Brunei Darussalam,BRU,863.09,875.78,-5,AFC,2026-04-01
194,Macau,MAC,858.03,865.29,-1,AFC,2026-04-01
195,Cayman Islands,CAY,855.45,851.74,0,CONCACAF,2026-04-01
196,São Tomé and Príncipe,STP,855.44,871.63,-7,CAF,2026-04-01
197,Djibouti,DJI,853.58,847.03,-1,CAF,2026-04-01
198,Somalia,SOM,839.17,828.9,2,CAF,2026-04-01
199,Tonga,TGA,835.64,835.64,-2,OFC,2026-04-01
200,Timor-Leste,TLS,825.64,835.55,-2,AFC,2026-04-01
201,Guam,GUM,825.43,823.08,0,AFC,2026-04-01
202,Pakistan,PAK,824.6,833.16,-3,AFC,2026-04-01
203,Gibraltar,GIB,810.14,818.03,-1,UEFA,2026-04-01
204,Seychelles,SEY,804.16,805.33,-1,CAF,2026-04-01
205,Turks and Caicos Islands,TCA,803.98,803.98,-1,CONCACAF,2026-04-01
206,Liechtenstein,LIE,803.57,799.8,-1,UEFA,2026-04-01
207,Bahamas,BAH,786.82,796.6,-1,CONCACAF,2026-04-01
208,British Virgin Islands,VGB,782.14,776.54,0,CONCACAF,2026-04-01
209,US Virgin Islands,VIR,779.76,776.6,-2,CONCACAF,2026-04-01
210,Anguilla,AIA,760.25,759.78,-1,CONCACAF,2026-04-01
211,San Marino,SMR,726.33,726.03,-1,UEFA,2026-04-01
